13.3(s)
32.8(s)
13.0(s)
12.9(s)
13.4(s)
13.0(s)
13.2(s)
14.3(s)
13.8(s)
13.5(s)
13.9(s)
13.2(s)
0.29(s)
39.5(s)
19.0(s)
